osmid,Latitude,Longitude,highway,ref,geometry
7185334298,38.9850158,-76.4872519,,,POINT (-8514521.933684846 4719525.44171861)
102629495,38.9923131,-76.4994059,,,POINT (-8515874.910775948 4720570.549915685)
102629499,38.9907677,-76.501229,,,POINT (-8516077.857339613 4720349.211087243)
1486127380,38.9859356,-76.4953298,,,POINT (-8515421.161399525 4719657.16814014)
10245603663,38.9758556,-76.4862685,,,POINT (-8514412.4620976 4718213.684300721)
3158507895,38.9810717,-76.4926877,,,POINT (-8515127.044172902 4718960.618569922)
3158507919,38.982498,-76.4903224,,,POINT (-8514863.740181327 4719164.871233895)
3158507933,38.9829401,-76.4910155,,,POINT (-8514940.895720396 4719228.1828052765)
3158507937,38.9832892,-76.4915683,,,POINT (-8515002.433134906 4719278.176456195)
102564288,38.9720976,-76.4999856,,,POINT (-8515939.44268476 4717675.580903871)
102597243,38.9883692,-76.492188,,,POINT (-8515071.417823352 4720005.697181834)
6495077016,38.9873408,-76.5011957,,,POINT (-8516074.15040057 4719858.412983903)
9898623652,38.978598,-76.4915577,,,POINT (-8515001.253148304 4718606.383205947)
9898623654,38.9786945,-76.4915591,,,POINT (-8515001.408995591 4718620.201833428)
9898623661,38.9794729,-76.4910105,,,POINT (-8514940.339122942 4718731.668010461)
6495077042,38.9856058,-76.5003573,,,POINT (-8515980.820139488 4719609.936617137)
6495077044,38.9854973,-76.5004778,,,POINT (-8515994.23413813 4719594.398095666)
2286912254,38.9899927,-76.4938033,,,POINT (-8515251.232196828 4720238.214076654)
2286912259,38.9906644,-76.4927182,,,POINT (-8515130.43941737 4720334.416189694)
10245669636,38.9772904,-76.4871949,,,POINT (-8514515.588473871 4718419.139080105)
7308543060,38.9780247,-76.4928595,crossing,,POINT (-8515146.168861419 4718524.288059161)
11485643862,38.9772515,-76.5010695,,,POINT (-8516060.101880832 4718413.56877784)
11485643864,38.9774696,-76.5011827,,,POINT (-8516072.70324719 4718444.799740858)
7611024585,38.9892248,-76.4961238,,,POINT (-8515509.549075216 4720128.235140606)
3812721913,38.9835124,-76.4817601,,,POINT (-8513910.589305308 4719310.140443551)
3812721915,38.9826657,-76.4827172,,,POINT (-8514017.133189946 4719188.886908959)
3812721929,38.98275,-76.4828516,,,POINT (-8514032.09452951 4719200.959210752)
3812721933,38.983617,-76.4819201,,,POINT (-8513928.400423834 4719325.1200171085)
102597965,38.9889832,-76.5007396,,,POINT (-8516023.37758082 4720093.633341582)
102597968,38.9900225,-76.5021264,,,POINT (-8516177.755450651 4720242.48206827)
3615881096,38.9799939,-76.4851638,,,POINT (-8514289.48745612 4718806.275424524)
10031891817,38.9778473,-76.4830091,,,POINT (-8514049.62734931 4718498.884951118)
10031891819,38.9778969,-76.4827218,,,POINT (-8514017.645259602 4718505.987504792)
10031891824,38.9784272,-76.4821539,,,POINT (-8513954.42692078 4718581.924997465)
3615881115,38.9795273,-76.4844494,,,POINT (-8514209.960811898 4718739.458087144)
102631015,38.9735978,-76.4943778,,,POINT (-8515315.18524429 4717890.389272142)
102631017,38.9740287,-76.4940847,,,POINT (-8515282.55750154 4717952.089170703)
10032187116,38.9813758,-76.4900423,,,POINT (-8514832.559591955 4719004.166731504)
3814033151,38.988761,-76.4979972,,,POINT (-8515718.095009267 4720061.810102536)
102598422,38.9830868,-76.4882326,,,POINT (-8514631.104709469 4719249.191278798)
102598425,38.982145,-76.4873636,,,POINT (-8514534.368071968 4719114.319641036)
102598428,38.9812657,-76.4863039,,,POINT (-8514416.402807573 4718988.400012797)
102565667,38.9774853,-76.496971,,,POINT (-8515603.858947815 4718447.047915681)
102565669,38.9766118,-76.4969704,,,POINT (-8515603.79215612 4718321.967099541)
102631414,38.9786238,-76.4914225,,,POINT (-8514986.202753149 4718610.077717979)
102631416,38.9785692,-76.4923185,,,POINT (-8515085.945016898 4718602.259101085)
11419846902,38.9868166,-76.4975031,,,POINT (-8515663.092048867 4719783.339539866)
102566153,38.9739489,-76.4857087,,,POINT (-8514350.145446654 4717940.662704912)
102566156,38.9748753,-76.4871658,,,POINT (-8514512.34907669 4718073.313596913)
102566159,38.9760546,-76.489042,,,POINT (-8514721.206705315 4718242.179661987)
102566160,38.9764277,-76.4896305,,,POINT (-8514786.718225647 4718295.60510035)
102566161,38.9769023,-76.4903751,traffic_signals,,POINT (-8514869.606718492 4718363.565070362)
102566164,38.9774212,-76.4911716,,,POINT (-8514958.27269291 4718437.869064924)
102566166,38.9781608,-76.4926077,,,POINT (-8515118.138613638 4718543.777183501)
3814033864,38.9897585,-76.4974484,,,POINT (-8515657.00287272 4720204.671735295)
3814033869,38.9895978,-76.4972177,,,POINT (-8515631.321466194 4720181.656196354)
4836067814,38.9819926,-76.489536,,,POINT (-8514776.198533768 4719092.495178559)
4836067817,38.9819784,-76.4894165,,,POINT (-8514762.895854618 4719090.461668045)
4836067819,38.9819147,-76.4894141,,,POINT (-8514762.62868784 4719081.339516736)
7018809936,38.9891173,-76.4977622,,,POINT (-8515691.934928931 4720112.839044088)
7018809956,38.9903729,-76.4967272,,,POINT (-8515576.71925596 4720292.666909851)
7018809966,38.9888834,-76.4981716,,,POINT (-8515737.509128463 4720079.340083243)
7018809968,38.9893706,-76.4970687,,,POINT (-8515614.734862067 4720149.11658143)
102599278,38.9766667,-76.5020593,,,POINT (-8516170.28591282 4718329.828458574)
102599281,38.978165,-76.5028111,,,POINT (-8516253.975905998 4718544.378611887)
102599283,38.9786384,-76.503046,,,POINT (-8516280.124854384 4718612.16841143)
9630649045,38.9775906,-76.4938052,,,POINT (-8515251.443703862 4718462.126451421)
9630649056,38.9774177,-76.4940033,,,POINT (-8515273.496094989 4718437.367879865)
7036242950,38.9805222,-76.4897381,,,POINT (-8514798.696202856 4718881.92876216)
102632847,38.9777425,-76.4853727,,,POINT (-8514312.742097748 4718483.877958908)
7786302870,38.9793711,-76.4978808,,,POINT (-8515705.13742054 4718717.090272748)
6496816573,38.9815437,-76.4934863,,,POINT (-8515215.943918249 4719028.210666727)
9630748541,38.9796326,-76.4919501,crossing,,POINT (-8515044.93491649 4718754.53705773)
7150276553,38.9763128,-76.4959923,,,POINT (-8515494.910562176 4718279.152154601)
6799429600,38.9759119,-76.4888215,,,POINT (-8514696.660757596 4718221.746045561)
7085887671,38.9891487,-76.500941,,,POINT (-8516045.797326263 4720117.336134049)
102568128,38.9792059,-76.5011238,,,POINT (-8516066.146529183 4718693.433713514)
4835974765,38.985916,-76.4851166,,,POINT (-8514284.233176155 4719654.361166583)
7035294162,38.9793446,-76.494233,,,POINT (-8515299.066182023 4718713.295481987)
7308513807,38.9781203,-76.4932056,crossing,,POINT (-8515184.696537182 4718537.977697325)
7607685708,38.9772264,-76.5001662,,,POINT (-8515959.546984797 4718409.974574146)
9688748636,38.9805484,-76.4989783,,,POINT (-8515827.310561685 4718885.680655417)
4699361904,38.9771445,-76.4869434,crossing,,POINT (-8514487.591621937 4718398.246882508)
4699361905,38.9803537,-76.4911517,,,POINT (-8514956.057435043 4718857.799252827)
3812725367,38.9804988,-76.4799349,,,POINT (-8513707.408970712 4718878.5778357675)
7300289220,38.9818781,-76.4895077,,,POINT (-8514773.048192179 4719076.098221582)
102601525,38.9868388,-76.4984005,,,POINT (-8515762.990159905 4719786.518907566)
7475369162,38.9794703,-76.4902551,crossing,,POINT (-8514856.248379597 4718731.29569077)
7475369163,38.9794033,-76.4902705,crossing,,POINT (-8514857.962699754 4718721.701303433)
7475369165,38.9788765,-76.4898937,crossing,,POINT (-8514816.017515624 4718646.263959306)
7475369166,38.980258,-76.491272,crossing,,POINT (-8514969.449169783 4718844.094862708)
7475369167,38.9783524,-76.4902439,crossing,,POINT (-8514855.0016013 4718571.213809984)
102569248,38.9802828,-76.4966555,,,POINT (-8515568.73764847 4718847.646259831)
102569250,38.980273,-76.4974183,,,POINT (-8515653.652156048 4718846.242885013)
4343502210,38.9892463,-76.4954198,,,POINT (-8515431.180153696 4720131.314362714)
1304073625,38.9776954,-76.4827308,,,POINT (-8514018.647135021 4718477.133411438)
6799758758,38.993683,-76.4958404,,,POINT (-8515478.001131525 4720766.756921031)
3148256782,38.9846583,-76.4936893,,,POINT (-8515238.541774878 4719474.243881194)
3627587194,38.9801686,-76.4931615,,,POINT (-8515179.787347637 4718831.292659206)
7094900479,38.9903,-76.5025141,,,POINT (-8516220.914017232 4720282.226036212)
3659143022,38.9765929,-76.4858449,,,POINT (-8514365.307161301 4718319.2607314475)
2098730870,38.9852426,-76.4903634,,,POINT (-8514868.30428045 4719557.92204713)
2098730878,38.9858058,-76.4852364,,,POINT (-8514297.569251154 4719638.579115441)
2098730884,38.9853927,-76.4909323,,,POINT (-8514931.633938761 4719579.418124242)
102569875,38.9773909,-76.4878152,,,POINT (-8514584.639954012 4718433.530235087)
11365456002,38.9868874,-76.4891462,,,POINT (-8514732.806196256 4719793.479148442)
5202712721,38.9766444,-76.48666,,,POINT (-8514456.043678246 4718326.635228213)
5202712722,38.9778721,-76.4874929,,,POINT (-8514548.761682129 4718502.436227333)
5202712733,38.9775571,-76.4877699,,,POINT (-8514579.597181078 4718457.329383963)
102635911,38.9898958,-76.4902242,,,POINT (-8514852.808607332 4720224.33595526)
7985096486,38.9865189,-76.4987421,,,POINT (-8515801.01689796 4719740.704601783)
6193355556,38.9781373,-76.4898486,,,POINT (-8514810.99700659 4718540.412049143)
764812180,38.9782646,-76.5004416,,,POINT (-8515990.204372562 4718558.641066921)
639278160,38.9771685,-76.4868912,crossing,,POINT (-8514481.780744517 4718401.683567296)
639278205,38.9775197,-76.4870791,,,POINT (-8514502.697676837 4718451.973854615)
639278221,38.9775622,-76.4873608,,,POINT (-8514534.056377394 4718458.059683639)
102636686,38.9878481,-76.4938316,turning_circle,,POINT (-8515254.38253842 4719931.066619245)
102636689,38.9873253,-76.4929104,,,POINT (-8515151.8350235 4719856.193139256)
639278230,38.9775563,-76.4871007,,,POINT (-8514505.10217784 4718457.214827156)
639278235,38.977586,-76.4873302,,,POINT (-8514530.650000975 4718461.467749487)
639278248,38.9783691,-76.4910242,crossing,,POINT (-8514941.864199966 4718573.605210487)
639278258,38.9787799,-76.4915028,,,POINT (-8514995.14170826 4718632.43097646)
639278285,38.97872,-76.4925149,,,POINT (-8515107.808164893 4718623.853390986)
4836073064,38.983476,-76.4877907,,,POINT (-8514581.912626486 4719304.927671712)
1304010093,38.9796017,-76.4919832,,,POINT (-8515048.619591638 4718750.1121723)
1304010096,38.9790369,-76.4914761,,,POINT (-8514992.169477856 4718669.233053252)
1304010097,38.9792171,-76.4913568,,,POINT (-8514978.889062604 4718695.037546295)
102636918,38.9821601,-76.4819204,,,POINT (-8513928.433819683 4719116.482041122)
1304010102,38.9794424,-76.4921529,crossing,,POINT (-8515067.510509223 4718727.30041494)
4835974727,38.9841151,-76.4886191,,,POINT (-8514674.129692659 4719396.452305337)
4836073073,38.9840521,-76.4886236,,,POINT (-8514674.630630368 4719387.430125117)
4836073081,38.9835143,-76.487701,,,POINT (-8514571.927268162 4719310.412538858)
4835974799,38.984436,-76.4890029,,,POINT (-8514716.854113225 4719442.408265387)
12063907552,38.981846,-76.4944177,,,POINT (-8515319.626891972 4719071.501350192)
102637302,38.9865242,-76.4978509,,,POINT (-8515701.808967765 4719741.4636367345)
8006803218,38.9887784,-76.4903524,,,POINT (-8514867.079766052 4720064.302107749)
8006803224,38.9886358,-76.4905393,,,POINT (-8514887.88537888 4720043.8791405605)
102571991,38.9835318,-76.4877276,,,POINT (-8514574.888366615 4719312.918680187)
102571993,38.9828253,-76.4866448,,,POINT (-8514454.351621985 4719211.742666859)
102572036,38.9767342,-76.4990187,stop,,POINT (-8515831.807869112 4718339.494072295)
102572063,38.9879959,-76.5002398,,,POINT (-8515967.74009932 4719952.234088185)
102572153,38.9743512,-76.4917793,,,POINT (-8515025.921547465 4717998.267688055)
102572156,38.9745999,-76.49153,,,POINT (-8514998.169598408 4718033.8789859805)
102572158,38.975212,-76.490882,,,POINT (-8514926.034568375 4718121.525982104)
102572161,38.9753912,-76.4906874,,,POINT (-8514904.371795466 4718147.1858897265)
3093471527,38.9928052,-76.5027704,,,POINT (-8516249.445202721 4720641.031606718)
3093471570,38.9926332,-76.5029719,,,POINT (-8516271.876080118 4720616.396617341)
3093471573,38.9921378,-76.5030898,,,POINT (-8516285.000648081 4720545.44245342)
3093471587,38.9920808,-76.5019129,,,POINT (-8516153.988739366 4720537.278602873)
639279490,38.9790208,-76.4926363,,,POINT (-8515121.322351074 4718666.927549578)
102605356,38.988411,-76.494483,,,POINT (-8515326.896054722 4720011.6836909875)
5759672918,38.9781436,-76.4877057,,,POINT (-8514572.45046977 4718541.314191436)
102572721,38.9781677,-76.4962997,,,POINT (-8515529.130173646 4718544.765244439)
102572723,38.9775945,-76.4962319,,,POINT (-8515521.58271217 4718462.684916138)
102572724,38.9764709,-76.4963712,,,POINT (-8515537.089517238 4718301.791071192)
12112044738,38.9775774,-76.4887489,crossing,,POINT (-8514688.578962564 4718460.236263376)
12112044750,38.9778711,-76.4902242,crossing,,POINT (-8514852.808607332 4718502.293030688)
12112044751,38.9777957,-76.4900725,crossing,,POINT (-8514835.921440577 4718491.49600943)
12112044756,38.9778154,-76.4899402,crossing,,POINT (-8514821.193871947 4718494.316980717)
12112044759,38.9776317,-76.4890121,crossing,,POINT (-8514717.87825254 4718468.011811911)
12112044762,38.9779715,-76.4907353,crossing,,POINT (-8514909.703999076 4718516.669984003)
12112044769,38.9767989,-76.4919133,crossing,,POINT (-8515040.83835923 4718348.758750687)
12112044772,38.9773697,-76.4912256,crossing,,POINT (-8514964.283945413 4718430.494487262)
12112044787,38.9768532,-76.4904272,crossing,,POINT (-8514875.406463962 4718356.534213739)
12112044797,38.9769644,-76.490354,crossing,,POINT (-8514867.257877236 4718372.457464232)
12112044799,38.9769512,-76.4904502,crossing,,POINT (-8514877.96681225 4718370.567292902)
12112044800,38.9768814,-76.4903413,crossing,,POINT (-8514865.844119702 4718360.572301876)
12112044802,38.976463,-76.4896856,crossing,,POINT (-8514792.85192959 4718300.659840131)
12112044803,38.976378,-76.4896812,crossing,,POINT (-8514792.36212383 4718288.488374672)
102572869,38.977661,-76.4891544,,,POINT (-8514733.71901608 4718472.207460281)
102572870,38.9783769,-76.4901952,,,POINT (-8514849.5803421 4718574.722152231)
102638412,38.9809533,-76.5026792,,,POINT (-8516239.29286516 4718943.663334975)
102605685,38.9805187,-76.483936,,,POINT (-8514152.809385326 4718881.427555149)
10031702909,38.9902713,-76.5018268,,,POINT (-8516144.40413121 4720278.115571763)
9630753847,38.9788395,-76.4898151,crossing,,POINT (-8514807.267803648 4718640.96560961)
3583517820,38.9867608,-76.5010357,,,POINT (-8516056.339282043 4719775.348160592)
3583517821,38.9870787,-76.5001588,,,POINT (-8515958.723220566 4719820.876192392)
3583517825,38.9878528,-76.5012367,,,POINT (-8516078.714499693 4719931.739738348)
3583517854,38.9877692,-76.5020942,,,POINT (-8516174.170963047 4719919.766817994)
2975737037,38.9793332,-76.4853963,stop,,POINT (-8514315.36923773 4718711.663006398)
102638844,38.9899948,-76.5001192,,,POINT (-8515954.314968731 4720238.514841104)
102638943,38.9771533,-76.4844486,,,POINT (-8514209.871756304 4718399.507000128)
102638947,38.9784074,-76.4864169,traffic_signals,,POINT (-8514428.981910033 4718579.089682031)
764814696,38.976587,-76.5023417,,,POINT (-8516201.722537018 4718318.415886531)
2970527134,38.9765171,-76.5026069,,,POINT (-8516231.244465977 4718308.406627519)
5184562690,38.9829686,-76.4864934,,,POINT (-8514437.49785108 4719232.264202655)
5184562694,38.9833118,-76.4873905,,,POINT (-8514537.36256627 4719281.412948538)
5184562695,38.9831523,-76.4881582,,,POINT (-8514622.822539352 4719258.571354311)
5184562697,38.9824346,-76.4870576,,,POINT (-8514500.304307785 4719155.791977402)
8411948946,38.9787616,-76.4978836,,,POINT (-8515705.449115112 4718629.810444569)
1648584953,38.9766539,-76.494727,,,POINT (-8515354.058010476 4718327.995572863)
102639736,38.9733989,-76.4939292,,,POINT (-8515265.247320719 4717861.909218169)
102639738,38.974843,-76.4971238,,,POINT (-8515620.868566008 4718068.688542013)
3812599942,38.9809376,-76.4854394,,,POINT (-8514320.167107785 4718941.415050036)
102607361,38.9785019,-76.5017027,,,POINT (-8516130.5893824 4718592.621876468)
1685291737,38.9746152,-76.4946918,,,POINT (-8515350.139564399 4718036.069793677)
1685291747,38.9760686,-76.4975258,,,POINT (-8515665.619001308 4718244.184363784)
102607662,38.9744505,-76.4962735,,,POINT (-8515526.213602986 4718012.4864180675)
102607664,38.9772333,-76.4942171,,,POINT (-8515297.29620212 4718410.9626220465)
102607666,38.9781905,-76.4931255,,,POINT (-8515175.77984597 4718548.030142138)
102593331,38.9916495,-76.5024259,,,POINT (-8516211.095638143 4720475.505680178)
102593333,38.9931814,-76.5006036,,,POINT (-8516008.238130072 4720694.913693332)
102593334,38.9939249,-76.4997191,,,POINT (-8515909.776040463 4720801.40398656)
102607804,38.9783828,-76.4933164,,,POINT (-8515197.030736761 4718575.567018503)
102607809,38.9780963,-76.4965973,,,POINT (-8515562.258854106 4718534.54096634)
102607811,38.9778777,-76.497543,traffic_signals,,POINT (-8515667.533696547 4718503.238128586)
102607813,38.9775677,-76.4988739,,,POINT (-8515815.688806847 4718458.847261779)
102607815,38.9771139,-76.5005565,,,POINT (-8516002.994982054 4718393.86511109)
102607817,38.9770017,-76.5009429,,,POINT (-8516046.008833297 4718377.798632093)
102575051,38.9808493,-76.4887703,,,POINT (-8514690.961199667 4718928.770246589)
11907935195,38.9919459,-76.5020733,,,POINT (-8516171.844385691 4720517.95751611)
11907935205,38.9928283,-76.5027433,,,POINT (-8516246.428444523 4720644.340147643)
12063911170,38.9826044,-76.4950435,,,POINT (-8515389.29062931 4719180.108364012)
12063911171,38.9824259,-76.4953364,,,POINT (-8515421.896108164 4719154.546086372)
12063911172,38.9823813,-76.4947076,,,POINT (-8515351.898412354 4719148.159107177)
12063911174,38.9821417,-76.4951479,,,POINT (-8515400.91238415 4719113.847063595)
102608139,38.9775981,-76.4888494,,,POINT (-8514699.76657139 4718463.200422059)
102608141,38.9783407,-76.4886422,,,POINT (-8514676.701172898 4718569.538397991)
2916167085,38.9780521,-76.4911456,crossing,,POINT (-8514955.378386147 4718528.211656493)
5566082519,38.9775009,-76.4883344,,,POINT (-8514642.437033629 4718449.281771415)
